nome_loja                      | media_integracao_separacao | media_separacao_nota | media_nota_despacho | media_despacho_entrega | media_total_ate_entrega
-------------------------------------------------------------------------------------------------------------------------------------------------
Pata Amiga Ituporanga          |                       3.06 |                 0.96 |                9.74 |                   3.05 |                   16.53
Pata Amiga Santo Amaro da Imp. |                       3.22 |                 0.76 |                8.65 |                   3.16 |                   15.88
Pata Amiga Otacílio Costa      |                       2.69 |                 0.82 |                8.91 |                   3.06 |                   15.61
Pata Amiga Itapoa              |                       2.95 |                 0.67 |                9.26 |                   2.44 |                   15.39
Pata Amiga Ibirama             |                       3.21 |                 0.62 |                8.39 |                   2.96 |                   15.39
Pata Amiga Sao Joaquim         |                       2.86 |                 0.74 |                8.74 |                   2.85 |                   15.07
Pata Amiga Taio                |                       3.00 |                 0.61 |                8.42 |                   2.77 |                   14.57
Pata Amiga Rio dos Cedros      |                       2.85 |                 0.65 |                8.00 |                   2.45 |                   14.24
Pata Amiga Presidente Getulio  |                       3.02 |                 0.62 |                7.53 |                   2.93 |                   14.16
Pata Amiga Curitibanos         |                       2.15 |                 0.53 |                3.73 |                   2.30 |                    8.65
Pata Amiga Laguna              |                       2.09 |                 0.85 |                3.42 |                   2.02 |                    8.51
Nao Informado                  |                       2.00 |                 0.00 |                4.00 |                   3.00 |                    8.50
Pata Amiga Rio do Sul          |                       2.13 |                 0.74 |                3.51 |                   2.05 |                    8.35
Pata Amiga Ararangua           |                       2.07 |                 0.69 |                3.27 |                   2.19 |                    8.25
Pata Amiga Sao Bento do Sul    |                       2.05 |                 0.67 |                3.52 |                   2.00 |                    8.18
Pata Amiga Xanxere             |                       1.90 |                 0.50 |                3.76 |                   2.03 |                    8.17
Pata Amiga Criciuma            |                       2.00 |                 0.67 |                3.17 |                   2.17 |                    8.07
Pata Amiga Florianopolis Norte |                       1.96 |                 0.61 |                3.52 |                   1.98 |                    8.02
Pata Amiga Jaragua do Sul      |                       1.98 |                 0.63 |                3.37 |                   1.97 |                    8.01
Pata Amiga Sao Jose Kobrasol   |                       2.10 |                 0.63 |                3.31 |                   1.87 |                    8.01
Pata Amiga Gaspar              |                       1.99 |                 0.64 |                3.38 |                   1.96 |                    8.01
Pata Amiga Sao Miguel do Oeste |                       1.85 |                 0.48 |                3.79 |                   1.92 |                    8.00
Pata Amiga Itajai Praia        |                       2.03 |                 0.71 |                3.29 |                   2.05 |                    7.98
Pata Amiga Chapeco             |                       1.95 |                 0.72 |                3.13 |                   2.09 |                    7.85
Pata Amiga Joinville Sul       |                       1.80 |                 0.60 |                3.32 |                   2.02 |                    7.83
Pata Amiga Blumenau Centro     |                       1.98 |                 0.63 |                3.27 |                   1.99 |                    7.80
Pata Amiga Indaiail            |                       1.92 |                 0.60 |                3.20 |                   2.08 |                    7.74
Pata Amiga Concordia           |                       1.81 |                 0.61 |                3.45 |                   2.00 |                    7.74
Pata Amiga Timbo               |                       1.84 |                 0.61 |                3.43 |                   1.88 |                    7.70
Pata Amiga Palhoca             |                       1.98 |                 0.68 |                2.93 |                   2.08 |                    7.69
Pata Amiga Lages               |                       2.01 |                 0.54 |                3.17 |                   2.00 |                    7.69
Pata Amiga Tubarao             |                       1.95 |                 0.57 |                3.17 |                   2.04 |                    7.69
Pata Amiga Brusque             |                       1.92 |                 0.48 |                3.32 |                   1.94 |                    7.69
