"codigo","nome_digitado_na_venda","total_pedidos"
"","pata amiga joinville sul","33"
"","Pata Amiga Joinville Sul","33"
"","Pata Amiga Blumenau Centro","30"
"","PATA AMIGA JOINVILLE SUL","26"
"","Pata Amiga Jaragua Do Sul","25"
"","Pata Amiga Indaial","24"
"","pata amiga blumenau centro","24"
""," Pata Amiga Blumenau Centro","23"
"","Pata Amiga Florianópolis Norte","22"
"","Pata Amiga Jaragua do Sul","22"
"","pata amiga gaspar","21"
"","Pata Amiga Timbo","21"
"","pata amiga florianopolis norte","21"
"","Pata Amiga Palhoça","21"
"","PATA AMIGA BLUMENAU CENTRO","20"
"","Pata Amiga Gaspar","19"
"","Pata Amiga Floripa Norte","19"
"","Pata Amiga Joinville Sul/SC","19"
"","Pata Amiga Florianopolis Norte/SC","19"
"","pata amiga lages","19"
"","PATA AMIGA TUBARAO","18"
"","Pata Amiga Tubarao","18"
"","Pata Amiga Rio do Sul","18"
"","Pata Amiga Chapecó","17"
"","PATA AMIGA GASPAR","17"
""," Pata Amiga Gaspar","17"
"","Pata Amiga Jgua do Sul","17"
"","Pata Amiga Sao Jose Kobrasol/SC","16"
"","Pata Amiga Ararangua","16"
"","Pata Amiga Jaraguá do Sul","16"
"","Pata Amiga Florianopolis Norte","16"
"","PATA AMIGA FLORIANOPOLIS NORTE","16"
"","PATA AMIGA INDAIAL","16"
"","Pata Amiga Rio do sul","16"
"","Pata Amiga Itapoá","15"
"","PATA AMIGA SAO BENTO DO SUL","15"
"","PATA AMIGA SAO JOSE KOBRASOL","14"
"","Pata Amiga Blumenal Centro","14"
"","pata amiga indaial","14"
"","Pata Amiga São Jose Kobrasol","14"
"","Pata Amiga Criciuma/SC","14"
"","Pata Amiga Brusque","14"
"","Pata Amiga Tubarão","14"
"","Pata Amiga Araranguá","13"
"","pata amiga palhoca","13"
"","Pata Amiga Presidente Getulio","13"
"","Pata Amiga Timbó","13"
"","Pata Amiga Chapeco","13"
"","PATA AMIGA PALHOCA","13"
"","Pata Amiga Concordia","13"
"","Pata Amiga Blumenau Centro/SC","13"
"","PATA AMIGA IBIRAMA","13"
"","Pata Amiga Sao Jose Kobrasol","13"
"","Pata Amiga Criciúma","13"
"","Pata Amiga Sao Bento do Sul","13"
"","PATA AMIGA CONCORDIA","12"
"","Pata Amiga Chapeco/SC","12"
"","PATA AMIGA BRUSQUE","12"
"","Pata Amiga São José Kobrasol","12"
"","pata amiga tubarao","12"
"","Pata Amiga Palhoca","12"
"","PATA AMIGA TIMBO","12"
"","PATA AMIGA ITAJAI PRAIA","12"
"","Pata Amiga Santo Amaro da Imperatriz","12"
"","Pata Amiga Concórdia","12"
"","pata amiga chapeco","12"
"","Pata Amiga São Bento do Sul","12"
"","Pata Amiga Itajai Praia","12"
"","Pata Amiga Rio Do Sul","12"
"","PATA AMIGA SANTO AMARO DA IMPERATRIZ","11"
"","Pata Amiga Itajaí Praia","11"
"","Pata Amiga Criciuma","11"
"","pata amiga brusque","11"
"","pata amiga criciuma","11"
"","Pata Amiga Itajai Praia/SC","11"
"","PATA AMIGA JARAGUA DO SUL","10"
"","Pata Amiga Ituporanga","10"
""," Pata Amiga Rio do Sul","10"
"","Pata Amiga Ibirama","10"
"","PATA AMIGA ITAJAÍ PRAIA","10"
"","Pata Amiga Lages","9"
"","Pata Amiga São Joaquim","9"
"","Pata Amiga Laguna/SC","9"
"","pata amiga itapoa","9"
""," Pata Amiga Brusque","9"
"","Pata Amiga Xanxere","9"
"","PATA AMIGA CHAPECO","9"
"","pata amiga araranguá","9"
"","PATA AMIGA PRESIDENTE GETULIO","9"
"","pata amiga itajai praia","8"
"","Pata Amiga Xanxerê","8"
"","pata amiga ibirama","8"
"","PATA AMIGA ITAPOA","8"
"","Pata Amiga Presidente Getúlio","8"
"","PATA AMIGA LAGES","8"
"","Pata Amiga Otacilio  Costa","8"
"","Pata Amiga Sao Joaquim","8"
"","PATA AMIGA LAGUNA","8"
"","PATA AMIGA RIO DO SUL","8"
"","Pata Amiga Ibirama/SC","8"
"","PATA AMIGA ARARANGUA","8"
"","Pata Amiga Laguna","7"
"","PATA AMIGA SAO MIGUEL DO OESTE","7"
"","Pata Amiga Rio dos Cedros","7"
"","PATA AMIGA CRICIUMA","6"
"","Pata Amiga Sao Miguel do Oeste","6"
"","PATA AMIGA CURITIBANOS","6"
"","PATA AMIGA SAO JOAQUIM","6"
"","pata amiga laguna","6"
"","Pata Amiga Curitibanos","6"
"","PATA AMIGA TAIO","6"
"","Pata Amiga Rio dos cedros","5"
"","pata amiga xanxere","5"
"","PATA AMIGA OTACILIO COSTA","5"
"","Pata Amiga Rio Dos Cedros","5"
"","Pata Amiga Otacílio Costa","5"
"","pata amiga ituporanga","5"
"","Pata Amiga Taio","5"
"","PATA AMIGA RIO DOS CEDROS","5"
"","Pata Amiga Itapoa","5"
"","PATA AMIGA XANXERE","5"
"","pata amiga taio","4"
"","Pata Amiga São Miguel do Oeste","4"
"","pata amiga curitibanos","4"
"","Pata Amiga Taió","3"
"","","3"
"","Pata Amiga Otacilio Costa","3"
"","PATA AMIGA ITUPORANGA","1"
